14 10 4 [1, 3, 4, 7, 1, 6, 5, 0]
18 9 9 [1, 4, 7, 1, 6, 3, 5, 0]
16 7 9 [3, 4, 0, 7, 1, 6, 5, 1]
16 8 8 [1, 4, 5, 7, 6, 3, 0, 1]
16 7 9 [1, 3, 4, 7, 6, 0, 5, 1]
15 6 9 [3, 6, 4, 7, 1, 5, 0, 1]
13 4 9 [1, 6, 4, 7, 3, 0, 5, 1]
10 5 5 [1, 6, 4, 7, 1, 3, 5, 0]
9 3 6 [6, 3, 4, 7, 1, 1, 5, 0]
12 2 10 [6, 4, 0, 7, 1, 3, 5, 1]
10 1 9 [6, 3, 4, 7, 1, 5, 0, 1]
10 0 10 [6, 3, 4, 7, 1, 0, 5, 1]
12 1 11 [6, 0, 4, 7, 1, 3, 5, 1]
12 1 11 [6, 3, 4, 7, 0, 1, 5, 1]
13 2 11 [0, 6, 4, 7, 1, 3, 5, 1]
13 3 10 [1, 6, 4, 7, 0, 3, 5, 1]
15 5 10 [3, 6, 4, 7, 1, 0, 5, 1]
16 6 10 [1, 0, 4, 7, 6, 3, 5, 1]
16 7 9 [1, 4, 0, 7, 6, 3, 5, 1]
16 6 10 [3, 0, 4, 7, 1, 6, 5, 1]
18 8 10 [1, 4, 7, 0, 6, 3, 5, 1]
17 7 10 [0, 3, 4, 7, 1, 6, 5, 1]
17 8 9 [1, 3, 4, 7, 0, 6, 5, 1]
