6 0 6 [1, 0, 3, 6, 5, 2, 7, 4]
6 1 5 [1, 2, 3, 6, 5, 0, 7, 4]
7 2 5 [1, 2, 3, 6, 5, 7, 0, 4]
7 3 4 [1, 2, 3, 6, 5, 7, 4, 0]
7 1 6 [1, 3, 0, 6, 5, 2, 7, 4]
7 2 5 [1, 3, 6, 0, 5, 2, 7, 4]
6 3 3 [1, 3, 6, 4, 5, 2, 7, 0]
9 4 5 [1, 2, 3, 0, 5, 7, 4, 6]
9 4 5 [1, 3, 6, 4, 5, 2, 0, 7]
9 3 6 [1, 2, 0, 6, 5, 7, 3, 4]
9 4 5 [1, 2, 6, 0, 5, 7, 3, 4]
8 5 3 [1, 2, 6, 4, 5, 7, 3, 0]
9 2 7 [1, 2, 3, 6, 0, 5, 7, 4]
9 5 4 [1, 2, 3, 0, 6, 5, 7, 4]
8 6 2 [1, 2, 3, 4, 6, 5, 7, 0]
9 2 7 [1, 3, 7, 6, 5, 2, 0, 4]
9 3 6 [1, 3, 7, 6, 5, 2, 4, 0]
9 1 8 [0, 1, 3, 6, 5, 2, 7, 4]
8 3 5 [6, 1, 3, 0, 5, 2, 7, 4]
7 4 3 [6, 1, 3, 4, 5, 2, 7, 0]
10 6 4 [1, 2, 6, 4, 5, 7, 0, 3]
10 5 5 [1, 3, 0, 4, 5, 2, 6, 7]
10 5 5 [6, 1, 3, 4, 5, 2, 0, 7]
10 4 6 [1, 2, 3, 6, 4, 5, 7, 0]
10 4 6 [6, 1, 0, 3, 5, 2, 7, 4]
11 7 4 [1, 2, 3, 4, 5, 7, 0, 6]
10 8 2 [1, 2, 3, 4, 5, 7, 6, 0]
11 7 4 [1, 2, 3, 4, 6, 5, 0, 7]
11 7 4 [1, 2, 0, 4, 5, 7, 6, 3]
11 7 4 [1, 2, 6, 4, 5, 0, 7, 3]
11 6 5 [1, 3, 0, 4, 5, 2, 7, 6]
11 6 5 [1, 2, 0, 3, 6, 5, 7, 4]
11 6 5 [1, 0, 3, 4, 5, 2, 6, 7]
11 7 4 [1, 2, 3, 4, 5, 0, 6, 7]
10 8 2 [1, 2, 3, 4, 5, 6, 0, 7]
9 9 0 [1, 2, 3, 4, 5, 6, 7, 0]
