0 0 0 [3, 0, 1, 4, 2, 6, 5, 7]
11 1 10 [0, 3, 1, 4, 2, 6, 5, 7]
12 2 10 [2, 3, 1, 4, 0, 6, 5, 7]
12 4 8 [2, 3, 1, 4, 7, 6, 5, 0]
13 3 10 [2, 3, 1, 4, 6, 0, 5, 7]
12 4 8 [2, 3, 1, 4, 6, 5, 0, 7]
11 5 6 [2, 3, 1, 4, 6, 5, 7, 0]
13 1 12 [3, 1, 0, 4, 2, 6, 5, 7]
12 2 10 [3, 1, 5, 4, 2, 6, 0, 7]
11 3 8 [3, 1, 5, 4, 2, 6, 7, 0]
13 3 10 [3, 1, 5, 4, 2, 0, 6, 7]
14 4 10 [7, 3, 1, 4, 2, 6, 5, 0]
15 5 10 [2, 0, 1, 4, 3, 6, 5, 7]
14 6 8 [0, 2, 1, 4, 3, 6, 5, 7]
15 5 10 [2, 3, 1, 4, 7, 6, 0, 5]
15 5 10 [2, 3, 0, 4, 6, 5, 1, 7]
14 6 8 [2, 0, 3, 4, 6, 5, 1, 7]
13 7 6 [0, 2, 3, 4, 6, 5, 1, 7]
15 5 10 [3, 1, 5, 4, 0, 6, 7, 2]
14 6 8 [0, 1, 5, 4, 3, 6, 7, 2]
15 9 6 [2, 1, 5, 4, 3, 6, 7, 0]
15 7 8 [1, 0, 5, 4, 3, 6, 7, 2]
16 10 6 [7, 2, 3, 4, 6, 5, 1, 0]
16 8 8 [2, 3, 0, 4, 6, 5, 7, 1]
15 9 6 [2, 0, 3, 4, 6, 5, 7, 1]
14 10 4 [0, 2, 3, 4, 6, 5, 7, 1]
15 13 2 [1, 2, 3, 4, 6, 5, 7, 0]
16 8 8 [0, 3, 1, 4, 6, 5, 7, 2]
16 6 10 [0, 1, 5, 4, 2, 6, 7, 3]
16 6 10 [2, 1, 0, 4, 3, 6, 5, 7]
16 6 10 [3, 1, 5, 4, 6, 0, 7, 2]
16 4 12 [2, 0, 1, 4, 6, 3, 5, 7]
15 5 10 [0, 2, 1, 4, 6, 3, 5, 7]
16 4 12 [3, 1, 5, 0, 2, 6, 7, 4]
13 7 6 [3, 1, 5, 7, 2, 6, 0, 4]
12 8 4 [3, 1, 5, 7, 2, 6, 4, 0]
14 8 6 [3, 1, 5, 7, 2, 0, 6, 4]
16 6 10 [0, 1, 5, 3, 2, 6, 7, 4]
16 4 12 [3, 0, 5, 4, 2, 1, 6, 7]
15 5 10 [0, 3, 5, 4, 2, 1, 6, 7]
16 8 8 [1, 3, 5, 4, 2, 0, 6, 7]
16 8 8 [7, 3, 5, 4, 2, 1, 6, 0]
16 4 12 [3, 1, 5, 4, 0, 2, 6, 7]
12 6 6 [3, 1, 5, 4, 7, 2, 6, 0]
15 7 8 [3, 1, 5, 4, 7, 2, 0, 6]
16 2 14 [3, 1, 4, 0, 2, 6, 5, 7]
13 3 10 [3, 1, 4, 7, 2, 6, 5, 0]
14 4 10 [0, 1, 4, 3, 2, 6, 5, 7]
14 4 10 [3, 1, 4, 7, 2, 6, 0, 5]
15 5 10 [3, 1, 4, 5, 2, 6, 0, 7]
14 6 8 [3, 1, 4, 5, 2, 6, 7, 0]
15 5 10 [2, 1, 4, 3, 0, 6, 5, 7]
15 7 8 [2, 1, 4, 3, 7, 6, 5, 0]
15 5 10 [1, 0, 4, 3, 2, 6, 5, 7]
15 5 10 [3, 1, 4, 7, 2, 0, 6, 5]
16 6 10 [2, 1, 4, 3, 6, 0, 5, 7]
15 7 8 [2, 1, 4, 3, 6, 5, 0, 7]
14 8 6 [2, 1, 4, 3, 6, 5, 7, 0]
17 11 6 [7, 2, 3, 4, 6, 5, 0, 1]
17 11 6 [0, 1, 5, 7, 2, 6, 4, 3]
17 9 8 [7, 2, 1, 4, 3, 6, 5, 0]
17 9 8 [3, 0, 5, 7, 2, 1, 6, 4]
16 10 6 [0, 3, 5, 7, 2, 1, 6, 4]
17 13 4 [1, 3, 5, 7, 2, 0, 6, 4]
17 9 8 [3, 1, 5, 7, 0, 2, 6, 4]
12 8 4 [3, 1, 5, 7, 4, 2, 6, 0]
17 9 8 [1, 3, 5, 4, 2, 6, 0, 7]
16 10 6 [1, 3, 5, 4, 2, 6, 7, 0]
17 9 8 [0, 1, 5, 4, 7, 2, 6, 3]
17 7 10 [2, 3, 0, 4, 7, 6, 5, 1]
16 8 8 [2, 3, 5, 4, 7, 6, 0, 1]
16 8 8 [2, 0, 3, 4, 7, 6, 5, 1]
15 9 6 [0, 2, 3, 4, 7, 6, 5, 1]
16 12 4 [1, 2, 3, 4, 7, 6, 5, 0]
17 9 8 [2, 3, 5, 4, 7, 6, 1, 0]
17 7 10 [0, 3, 1, 4, 7, 6, 5, 2]
17 7 10 [2, 3, 1, 4, 0, 5, 7, 6]
16 8 8 [2, 3, 1, 4, 5, 0, 7, 6]
17 9 8 [2, 3, 1, 4, 5, 7, 0, 6]
16 10 6 [2, 3, 1, 4, 5, 7, 6, 0]
17 7 10 [3, 2, 1, 4, 0, 6, 5, 7]
17 9 8 [3, 2, 1, 4, 7, 6, 5, 0]
17 7 10 [2, 5, 3, 4, 6, 0, 1, 7]
17 7 10 [1, 0, 5, 4, 2, 6, 7, 3]
17 7 10 [3, 1, 5, 4, 6, 7, 0, 2]
17 7 10 [1, 0, 5, 3, 2, 6, 7, 4]
17 7 10 [3, 1, 5, 0, 7, 2, 6, 4]
17 9 8 [0, 1, 5, 3, 7, 2, 6, 4]
17 7 10 [7, 1, 4, 3, 2, 6, 5, 0]
17 5 12 [2, 3, 1, 0, 4, 6, 5, 7]
16 8 8 [2, 3, 1, 5, 4, 6, 0, 7]
15 9 6 [2, 3, 1, 5, 4, 6, 7, 0]
16 6 10 [2, 3, 1, 7, 4, 6, 5, 0]
17 7 10 [0, 3, 1, 2, 4, 6, 5, 7]
17 5 12 [7, 3, 1, 4, 2, 6, 0, 5]
17 5 12 [2, 1, 0, 4, 6, 3, 5, 7]
16 6 10 [2, 1, 5, 4, 6, 3, 0, 7]
15 7 8 [2, 1, 5, 4, 6, 3, 7, 0]
17 5 12 [3, 1, 0, 5, 2, 6, 7, 4]
14 6 8 [3, 1, 7, 5, 2, 6, 0, 4]
13 7 6 [3, 1, 7, 5, 2, 6, 4, 0]
15 7 8 [3, 1, 7, 5, 2, 0, 6, 4]
17 5 12 [0, 1, 5, 4, 3, 2, 6, 7]
17 5 12 [3, 1, 4, 2, 0, 6, 5, 7]
16 6 10 [0, 1, 4, 2, 3, 6, 5, 7]
17 7 10 [3, 1, 4, 2, 7, 6, 5, 0]
17 7 10 [1, 0, 4, 2, 3, 6, 5, 7]
17 1 16 [3, 6, 1, 4, 2, 0, 5, 7]
16 2 14 [3, 6, 1, 4, 2, 5, 0, 7]
15 3 12 [3, 6, 1, 4, 2, 5, 7, 0]
18 14 4 [1, 2, 3, 4, 6, 5, 0, 7]
18 14 4 [1, 3, 5, 7, 2, 6, 0, 4]
17 15 2 [1, 3, 5, 7, 2, 6, 4, 0]
18 12 6 [1, 0, 5, 7, 2, 6, 4, 3]
18 12 6 [3, 1, 5, 7, 4, 2, 0, 6]
17 9 8 [2, 1, 5, 4, 3, 6, 0, 7]
18 10 8 [2, 5, 3, 4, 6, 0, 7, 1]
18 10 8 [0, 1, 5, 7, 3, 2, 6, 4]
18 10 8 [1, 0, 5, 4, 7, 2, 6, 3]
18 10 8 [7, 2, 3, 4, 0, 6, 5, 1]
18 10 8 [1, 0, 5, 3, 7, 2, 6, 4]
18 10 8 [0, 1, 7, 5, 2, 6, 4, 3]
18 8 10 [6, 2, 3, 4, 0, 5, 1, 7]
17 9 8 [6, 2, 3, 4, 5, 0, 1, 7]
18 10 8 [6, 2, 3, 4, 7, 5, 1, 0]
18 10 8 [6, 2, 3, 4, 5, 1, 0, 7]
17 11 6 [6, 2, 3, 4, 5, 1, 7, 0]
18 8 10 [1, 5, 0, 4, 3, 6, 7, 2]
18 8 10 [3, 2, 1, 4, 6, 0, 5, 7]
17 9 8 [3, 2, 1, 4, 6, 5, 0, 7]
16 10 6 [3, 2, 1, 4, 6, 5, 7, 0]
18 8 10 [7, 2, 1, 4, 6, 3, 5, 0]
18 8 10 [3, 1, 5, 4, 7, 0, 2, 6]
18 8 10 [3, 1, 4, 5, 0, 6, 7, 2]
17 9 8 [0, 1, 4, 5, 3, 6, 7, 2]
18 12 6 [2, 1, 4, 5, 3, 6, 7, 0]
18 10 8 [1, 0, 4, 5, 3, 6, 7, 2]
18 8 10 [2, 1, 4, 3, 7, 6, 0, 5]
18 8 10 [0, 3, 1, 4, 2, 5, 7, 6]
18 8 10 [2, 5, 3, 4, 6, 1, 0, 7]
17 9 8 [2, 5, 3, 4, 6, 1, 7, 0]
18 8 10 [2, 5, 3, 4, 0, 6, 1, 7]
17 11 6 [2, 0, 3, 4, 5, 6, 1, 7]
16 12 4 [0, 2, 3, 4, 5, 6, 1, 7]
18 10 8 [2, 5, 3, 4, 7, 6, 1, 0]
18 8 10 [3, 1, 5, 4, 6, 7, 2, 0]
18 8 10 [3, 1, 0, 5, 7, 2, 6, 4]
18 8 10 [3, 0, 7, 5, 2, 1, 6, 4]
17 9 8 [0, 3, 7, 5, 2, 1, 6, 4]
18 12 6 [1, 3, 7, 5, 2, 0, 6, 4]
18 8 10 [3, 1, 7, 5, 0, 2, 6, 4]
16 10 6 [3, 1, 7, 5, 4, 2, 6, 0]
18 8 10 [2, 1, 5, 4, 3, 0, 6, 7]
18 8 10 [7, 1, 5, 4, 3, 2, 6, 0]
18 6 12 [3, 1, 0, 4, 2, 6, 7, 5]
17 7 10 [3, 1, 7, 4, 2, 6, 0, 5]
18 8 10 [3, 1, 7, 4, 2, 6, 5, 0]
18 8 10 [3, 1, 7, 4, 2, 0, 6, 5]
18 6 12 [7, 3, 1, 4, 0, 6, 5, 2]
18 6 12 [2, 3, 0, 4, 7, 6, 1, 5]
17 7 10 [2, 0, 3, 4, 7, 6, 1, 5]
16 8 8 [0, 2, 3, 4, 7, 6, 1, 5]
18 6 12 [2, 3, 1, 4, 7, 0, 6, 5]
18 6 12 [2, 3, 4, 0, 6, 5, 1, 7]
17 7 10 [2, 3, 4, 7, 6, 5, 1, 0]
18 8 10 [0, 3, 4, 2, 6, 5, 1, 7]
18 8 10 [2, 3, 4, 7, 6, 5, 0, 1]
18 6 12 [2, 3, 5, 4, 0, 1, 6, 7]
18 8 10 [2, 3, 5, 4, 7, 1, 6, 0]
18 6 12 [0, 1, 4, 7, 2, 6, 5, 3]
18 6 12 [3, 1, 0, 5, 2, 6, 4, 7]
18 6 12 [3, 1, 4, 5, 2, 0, 6, 7]
18 6 12 [1, 4, 0, 3, 2, 6, 5, 7]
17 7 10 [1, 4, 5, 3, 2, 6, 0, 7]
16 8 8 [1, 4, 5, 3, 2, 6, 7, 0]
18 6 12 [3, 0, 4, 7, 2, 1, 6, 5]
17 7 10 [0, 3, 4, 7, 2, 1, 6, 5]
18 10 8 [1, 3, 4, 7, 2, 0, 6, 5]
18 10 8 [5, 3, 4, 7, 2, 1, 6, 0]
18 6 12 [3, 1, 4, 7, 0, 2, 6, 5]
16 8 8 [3, 1, 4, 7, 5, 2, 6, 0]
18 6 12 [2, 3, 0, 1, 4, 6, 5, 7]
17 7 10 [2, 3, 5, 1, 4, 6, 0, 7]
16 8 8 [2, 3, 5, 1, 4, 6, 7, 0]
